grade,week,brief
5,1,"Concept map: three boxes with icons about Presentation of information, Information around us, connected by arrows."
5,2,"Concept map: three boxes with icons about Transmitting information, connected by arrows."
5,3,"Concept map: three boxes with icons about Information encryption, connected by arrows."
5,4,"Concept map: three boxes with icons about Information encryption, connected by arrows."
5,5,Binary grid with 8-bit blocks and a small 2x2 logic grid. No text.
5,6,Binary grid with 8-bit blocks and a small 2x2 logic grid. No text.
5,7,"Concept map: three boxes with icons about Practical tasks, connected by arrows."
5,8,"Concept map: three boxes with icons about Practical tasks, connected by arrows."
5,9,"Split image: left pixel grid, right smooth vector curve."
5,10,"Split image: left pixel grid, right smooth vector curve."
5,11,"Split image: left pixel grid, right smooth vector curve."
5,12,"Split image: left pixel grid, right smooth vector curve."
5,13,"Split image: left pixel grid, right smooth vector curve."
5,14,"Concept map: three boxes with icons about Working with curves, connected by arrows."
5,15,"Split image: left pixel grid, right smooth vector curve."
5,16,"Split image: left pixel grid, right smooth vector curve."
5,17,"Concept map: three boxes with icons about Robotics, Types of robots and their applications, connected by arrows."
5,18,"Concept map: three boxes with icons about The history and prospects of robotics, connected by arrows."
5,19,"Concept map: three boxes with icons about Gyroscopic sensor, connected by arrows."
5,20,"Concept map: three boxes with icons about Robot turns. Practical work, connected by arrows."
5,21,"Concept map: three boxes with icons about Robot turns. Practical work, connected by arrows."
5,22,"Concept map: three boxes with icons about Robot Competitions, The movement of the robot along the line. Practical work, connected by arrows."
5,23,"Concept map: three boxes with icons about The movement of the robot along the line. Practical work, connected by arrows."
5,24,"Concept map: three boxes with icons about Robo-sumo., connected by arrows."
5,25,"Concept map: three boxes with icons about Robo-sumo. EXAM No. 3, connected by arrows."
5,26,"Concept map: three boxes with icons about Practical work, connected by arrows."
5,27,"Triangle with three security icons (lock, shield, key) connected by lines."
5,28,"Concept map: three boxes with icons about Digital media, connected by arrows."
5,29,"Concept map: three boxes with icons about Dangers of working on the Internet, connected by arrows."
5,30,Four component boxes connected by a bus line and arrows.
5,31,Four component boxes connected by a bus line and arrows.
5,32,"Concept map: three boxes with icons about Creating shared folders and files, connected by arrows."
5,33,"Concept map: three boxes with icons about Implementation of mini-projects in the EXAM No. 4, connected by arrows."
5,34,"Concept map: three boxes with icons about Implementation of mini-projects, connected by arrows."
10,1,Four component boxes connected by a bus line and arrows.
10,2,Four component boxes connected by a bus line and arrows.
10,3,Four component boxes connected by a bus line and arrows.
10,4,Four component boxes connected by a bus line and arrows.
10,5,Four component boxes connected by a bus line and arrows.
10,6,Binary grid with 8-bit blocks and a small 2x2 logic grid. No text.
10,7,Binary grid with 8-bit blocks and a small 2x2 logic grid. No text.
10,8,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,9,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,10,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,11,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,12,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,13,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,14,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,15,"Concept map: three boxes with icons about Software, Quiz, connected by arrows."
10,16,"Concept map: three boxes with icons about Software, connected by arrows."
10,17,"Concept map: three boxes with icons about Software, connected by arrows."
10,18,"Concept map: three boxes with icons about Software, connected by arrows."
10,19,"Concept map: three boxes with icons about Software, connected by arrows."
10,20,"Concept map: three boxes with icons about Software, connected by arrows."
10,21,"Concept map: three boxes with icons about Software, connected by arrows."
10,22,"Concept map: three boxes with icons about Software, connected by arrows."
10,23,"Concept map: three boxes with icons about Software, connected by arrows."
10,24,"Concept map: three boxes with icons about Software, Quiz, connected by arrows."
10,25,"Concept map: three boxes with icons about Software, connected by arrows."
10,26,"Concept map: three boxes with icons about Software, connected by arrows."
10,27,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,28,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,29,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,30,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,31,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,32,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,33,"Flowchart blocks with arrows: start, decision, action, end. No text."
10,34,"Flowchart blocks with arrows: start, decision, action, end. No text."



